When did you see the claim?,Country 1,Country 2,Country 3,Country 4,Countries,Organization,What did you fact-check?,Who said/posted it?,Link to the original piece,URL to fact-checked article (in your language),Language of your fact-check,Final rating,Explanation
5/23/2020,Philippines,,,,Philippines,VERA Files,Prolonged use of face masks causes hypoxia.,Several FB users,https://www.facebook.com/suzi.azores/posts/10221585904252300,https://verafiles.org/articles/vera-files-fact-check-prolonged-mask-use-does-not-cause-hypo,English,FALSE,"""The use of face masks does not cause hypoxia nor excessive intake of carbon dioxide. Masks are designed to allow proper breathing and oxygenation,"" WHO Philippines told VERA Files. Public health experts have also debunked the claim in fact check articles by several fact checking organizations across five continents."
5/18/2020,Bolivia,,,,Bolivia,Bolivia Verifica,The prolonged use of masks can cause hypoxia.,Facebook ,http://archive.li/cZKBd,https://boliviaverifica.bo/el-uso-prolongado-de-barbijo-no-produce-hipoxia/,Spanish,FALSE,There are is scientific evidence to support this statement.
5/27/2020,Spain,,,,Spain,EFE Verifica,Masks cause hypoxia or oxygen deficiency and also poisoning by inhalation of CO2.,"WhatsApp, Facebook",,https://www.efe.com/efe/espana/efeverifica/el-uso-de-mascarillas-no-provoca-deficit-oxigeno-o-intoxicacion-con-co2/50001435-4256788,Spanish,FALSE,"The masks can produce a sensation of difficulty when breathing, but they normally allow the entry of oxygen and the elimination of carbon dioxide."
5/20/2020,Philippines,,,,Philippines,Rappler,Wearing a face mask for a prolonged period of time causes hypoxia and/or hypercapnia.,Several Facebook pages and accounts,,https://www.rappler.com/newsbreak/fact-check/263009-prolonged-use-face-mask-causes-hypoxia-hypercapnia,English,FALSE,Using face masks does not cause hypoxia nor excessive carbon dioxide intake. The World Health Organization (WHO) Philippines said there is no evidence that using face masks for a prolonged period of time causes any adverse effect on the brain or heart function.
5/5/2020,Nigeria,,,,Nigeria,Dubawa,"Breathing over and over exhaled air turns into carbon dioxide, which is why we feel dizzy; Some people drive their car with the mask on; that is very dangerous because the stale air can make the driver lose consciousness; It is recommended to use face masks only if you have someone in front or very close, and it is essential to remember to lift it every 10 minutes to continue feeling healthy.",Facebook,https://www.facebook.com/permalink.php?id=338913212906800&story_fbid=1880401908757915,https://dubawa.org/face-masks-protection-or-inadvertent-harm/,English,MISLEADING,"While face masks give us protection, they are not the most comfortable apparel as they are still not part of our noses! However, health authorities see them as necessary in the context of a pandemic. And the ones recommended for the public certainly don't make breathing difficult to the extent of rending the user dizzy. Further, we established that intermittent (every 10 minutes) lifting of one's cover is counterproductive; it is a sure means of infection, not protection. And, as for using a mask in a car, it's unnecessary if you are alone ; it becomes imperative, however, if you have company. In truth, whatever discomfort wearing a face mask in public during a pandemic may cause is worth the trouble and only a small price to pay for good health."
5/12/2020,Italy,,,,Italy,Facta,"A picture which states that wearing a protective mask is a ""slow, inescapable suicide"" because it leads to consuming a dangerous amount of carbon dioxide.",Whatsapp,,https://facta.news/notizia-falsa/2020/05/13/no-indossare-la-mascherina-non-e-un-lento-inesorabile-suicidio/,Italian,FALSE,"Wearing a surgical mask for several hours can actually cause an increase in the levels of carbon dioxide we consume, but this is generally not dangerous and unlikely to cause severe health issues."
5/7/2020,Thailand,,,,Thailand,AFP,"Multiple Facebook, Twitter and Instagram posts shared hundreds of times claim that wearing a face mask for an extended period of time could cause hypercapnia, a condition caused by a buildup of carbon dioxide in the blood.","FB, Twitter, Instagram",https://perma.cc/VC59-95LC,https://factcheck.afp.com/myth-circulates-online-prolonged-use-face-masks-can-cause-hypercapnia,English,misleading,"The claim is misleading; health experts in Thailand have said that as of May 2020, there is no evidence that wearing a mask for a long period can cause hypercapnia."
5/3/2020,United States,,,,United States,Science Feedback,Wearing face masks can cause carbon dioxide toxicity; can weaken immune system.,"Facebook users, Facebook",https://archive.fo/SPCLk,https://healthfeedback.org/claimreview/wearing-face-masks-does-not-cause-hypercapnia-or-affect-the-immune-system/,English,FALSE,"Face masks help to limit contact with infectious droplets which carry pathogens. However, the material used for face masks are still porous enough to allow gas molecules, such as carbon dioxide and oxygen, to pass through, and do not significantly impair gas exchange to the point of causing hypercapnia. No scientific evidence supports the claim that the use of face masks weakens the immune system."
5/14/2020,Kenya,,,,Kenya,PesaCheck,Prolonged use of face masks reduces the circulation of oxygen in the blood and can lead to death.,Facebook,https://archive.vn/sft9a,https://pesacheck.org/false-prolonged-face-mask-use-does-not-lower-oxygen-circulation-in-the-blood-4ff5dbfffd59,English,FALSE,"Face masks are likely to cause rebreathing of exhaled carbon dioxide, but not significantly enough to cause death."
6/8/2020,Greece,,,,Greece,Ellinika Hoaxes,The use of a cloth mask for protection from COVID-19 can cause hypercapnia and cancer.,Facebook posts,https://www.facebook.com/photo.php?fbid=10161446066409815&set=a.10152521142749815&type=3,https://www.ellinikahoaxes.gr/2020/06/08/covid-mask-dangers-misinfo/,Greek,FALSE,There is no scientific backing for the claim that a mask can block oxygen and carbon dioxide molecules or that it causes hypercapnia or cancer.
